Pitcher,AutoPitchType,PitchCall,Date
"Goodcase, JD",Slider,BallCalled,10/13/2023
"Goodcase, JD",Four-Seam,FoulBall,10/13/2023
"Goodcase, JD",Slider,InPlay,10/13/2023
"Schmidt, Mason",Four-Seam,StrikeCalled,10/13/2023
"Schmidt, Mason",Four-Seam,BallCalled,10/13/2023
"Schmidt, Mason",Four-Seam,FoulBall,10/13/2023
"Schmidt, Mason",Changeup,InPlay,10/13/2023
"Schmidt, Mason",Changeup,FoulBall,10/13/2023
"Schmidt, Mason",Curveball,BallCalled,10/13/2023
"Schmidt, Mason",Curveball,StrikeSwinging,10/13/2023
"Schmidt, Mason",Four-Seam,StrikeCalled,10/13/2023
"Schmidt, Mason",Changeup,BallCalled,10/13/2023
"Schmidt, Mason",Curveball,StrikeCalled,10/13/2023
"Schmidt, Mason",Four-Seam,BallCalled,10/13/2023
"Schmidt, Mason",Four-Seam,FoulBall,10/13/2023
"Schmidt, Mason",Four-Seam,BallCalled,10/13/2023
"Schmidt, Mason",Curveball,InPlay,10/13/2023
,,,
"Allen, Dustin",Sinker,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,StrikeCalled,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,FoulBall,10/5/2023
"Allen, Dustin",Curveball,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,FoulBall,10/5/2023
"Allen, Dustin",Sinker,StrikeSwinging,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,StrikeSwinging,10/5/2023
"Allen, Dustin",Curveball,BallCalled,10/5/2023
"Allen, Dustin",Curveball,StrikeSwinging,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,InPlay,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,FoulBall,10/5/2023
"Allen, Dustin",Curveball,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
"Allen, Dustin",Changeup,BallCalled,10/5/2023
"Allen, Dustin",Four-Seam,BallCalled,10/5/2023
